superset,tokens
106,"[10416, 437, 5802, 4156, 286, 3295, 6460, 3279, 12566, 22693, 2857, 20431, 22104, 1906, 28043, 2890, 1698, 1241, 10551, 2989, 17743, 1523, 14679, 22713]"
107,"[287, 14746, 2645, 1907, 436, 24354, 1078, 6548, 14235, 4086, 7408, 7300, 2891, 29542, 6461, 8244, 27131, 1361, 1522, 5780, 24215, 2753, 10966, 6592, 1240]"
108,"[2301, 747, 25173, 14997, 2933, 23364, 7745, 4123, 654, 10767, 5521, 20961, 566, 19015, 15135, 9998, 21779, 2701, 27579, 2550, 11553, 13931, 2966, 16699, 1434]"
109,"[5618, 746, 2662, 567, 1682, 15899, 1422, 8177, 655, 7371, 1269, 6479, 435, 16808, 5075, 4122, 2963, 2967, 2700, 16246]"
110,"[29900, 18414, 440, 2285, 27310, 5461, 812, 527, 18470, 6749, 2435, 2092, 7835, 1074, 2407, 15543, 5323]"
111,"[526, 29901, 423, 1815, 1860, 29926, 16311, 441, 8589, 19848, 3647, 15542, 14407, 10605, 1503, 6354, 28620, 16206]"
112,"[20309, 2593, 1182, 29955, 21549, 1509, 29888, 4815, 361, 3289, 796, 11157, 689, 2071, 7101, 2462, 28056, 12151, 4325, 544, 4624, 24414, 1718, 27274, 24378, 429, 2235, 8825, 3245]"
113,"[29889, 360, 858, 545, 29954, 6914, 1508, 3620, 4230, 797, 10992, 562, 552, 1171, 428, 2538, 9536, 688, 29287, 1791, 2540, 2592, 17323, 4684, 8406, 6652, 1183, 4168, 2463, 14717, 8261]"
114,"[5138, 2192, 309, 6284, 29881, 26820, 1141, 10186, 11626, 4345, 704, 8388, 11798, 12234, 6544, 19861, 2730, 1741, 9377, 26322, 4456, 17441, 1028, 18930, 918]"
115,"[607, 4344, 21622, 22950, 1549, 21152, 29880, 11981, 5224, 18287, 23806, 2193, 8675, 5117, 4457, 4509, 4423, 16225, 7975, 8882]"
116,"[351, 13589, 318, 475, 21260, 19767, 3628, 3308, 4690, 17711, 2439, 13407, 15194, 5377, 1153, 7512, 3455, 1035]"
117,"[979, 319, 822, 29916, 350, 3464, 2877, 1924, 784, 1034, 628, 16842, 15006, 7567, 2438, 5713, 17796, 5644, 27283, 23170, 12957, 15397, 17091, 1152, 15678, 1044]"
118,"[508, 456, 448, 9701, 2086, 2925, 3578, 2133, 1833, 4660, 6576, 1564, 767, 4573, 658, 802, 2149, 17126, 3747, 485, 7543, 6504, 15453, 3594, 5371, 15339, 10115, 1114, 6090]"
119,"[766, 457, 484, 29943, 1058, 4850, 2087, 449, 659, 18906, 728, 1832, 23603, 1971, 27208, 21266, 509, 9552, 3580, 15721, 14351, 3595, 29612, 7451, 5370]"
120,"[24876, 2318, 1663, 28596, 20225, 1617, 23238, 1217, 1664, 12941, 9055, 548, 899, 14542, 7111, 4092, 7463, 5199, 4266, 4568, 14053, 9047, 4579, 21211, 4984]"
121,"[2319, 5198, 29931, 898, 9950, 6877, 29949, 1494, 22550, 2459, 549, 20791, 29939, 8348, 2274, 24382, 12652, 6238, 1662]"
122,"[4835, 17294, 27912, 951, 4841, 466, 18551, 5633, 1781, 1001, 974, 6668, 13104, 5464, 1404, 8439, 1634, 4666, 26129]"
123,"[467, 1019, 579, 1973, 6911, 975, 5518, 20354, 26414, 950, 22543, 2222, 5864, 1728, 3867, 5022, 2209, 15168, 6933, 22809, 1000, 11044, 16392, 26531]"
124,"[2398, 6554, 7807, 701, 26458, 1319, 29873, 2722, 4099, 27008, 963, 5901, 591, 522, 15247, 28428, 506, 5444, 11286, 21862, 16011, 2714, 29999, 6154, 1277, 853, 13175, 6247, 3761, 11695]"
125,"[852, 962, 9545, 29968, 20863, 29872, 590, 3856, 6555, 17511, 11029, 523, 8333, 7713, 6600, 3082, 12912, 700, 27430]"
126,"[1556, 4063, 6757, 14022, 1981, 4721, 6212, 7329, 708, 837, 1727, 10951, 391, 1478, 4127, 21755, 3742, 10311, 9450, 17300, 7861, 6040, 16429, 15859, 17696, 27668, 14372, 8078, 1247, 3219, 26406]"
127,"[559, 29747, 10296, 390, 29965, 25323, 8677, 1932, 10428, 1100, 6041, 4074, 3283, 20023, 14979, 3218, 1146, 1557, 1246, 10085, 7284]"
